1000 Names,Bulgarie,
12 Rounds,Etats-Unis,Madison
13th Hole,France,Rennes
22 Pistepirkko,Finlande,Utajärvi
24.7 Spyz,Etats-Unis,New-York
2 Bal 2 Neg',France,Chelles
2 Many Djs,Belgique,
3 Mustaphas 3,Royaume-Uni,Londres
4 ??????? ?????,Russie,
50 Miles From Vancouver,France,Brest
64 Dollar Question,France,Caen
69,France,
78 RPM Selector,Inde,
808 State,Royaume-Uni,Manchester
Abraham Inc.,Royaume-Uni,
Abstrackt Keal Agram,France,Morlaix
Accrorap,France,
Ace,France ,Nancy
Acid Arab,France,Paris
Acid Brass,Royaume-Uni,
AD,France,Rennes
A.D.O.R.,Etats-Unis,Mount Vernon
Adrian Veidt,France,Rennes
Aeroplane,Belgique,
Aesop Rock,Etats-Unis ,New-York
Affection Place,France,Lyon
Africa Unite,Italie ,Turin
Afro Celt Sound System,Royaume-Uni,Londres
Afro Jazz,France,
Agent Side Grinder,Suède,
Age of Chance,Royaume-Uni,Leeds
Agoria,France,Lyon
Aï,France,Paris
Aipa'Atout,France,Rennes
Aïsha Kandisha's Jarring Effects,Maroc,
Aïwa,France ,Rennes
Aj Croce,Etats-Unis,San Diego
Akabu,Royaume-Uni,
Aktuel Force,France,
Alabama 3,Royaume-Uni,Londres
Alan Stivell,France,
Albert Hammond Jr,Etats-Unis ,New-York
Alec Metric (Live),Royaume-Uni,
Alee,France ,Rennes
Alejandro Escovedo,Etats-Unis,Austin
Alexander Kowalski,Allemagne,Berlin
Alexander Tucker,Royaume-Uni,Londres
Alex Grenier,France,
Ali Hassan Kuban,Egypte,Le Caire
Alliance Ethnik,France,Creil
Alphaat,France,Nantes
Alphabet,France,Rennes
Alsarah & The Nubatones,Soudan,
Amadou & Mariam,Mali,Bamako
Amon Tobin,Brésil,
Amp Fiddler,Etats-Unis ,Detroit
Anches Doo Too Cool Duo,France,Rennes
Anches Doo Too Cool Duo,France,Rennes
Andre Bratten,Norvège,Oslo
André Roque,France ,Rennes
Andrew More,France,Paris
Andy Bag,France,
 And You'll Know Us By The Trail Of Dead,Etats-Unis ,Austin
Anechoic Chamber,France,Strasbourg
An Experiment On A Bird In The Air Pump,Royaume-Uni,Londres
Ani DiFranco,Etats-Unis,New-York
Animal Chuki,Pérou,Lima
Añjel I.K.,France,
Anna Palm,Royaume-Uni,Londres
Annie Ebrel,France,
An Pierlé,Belgique,
Anthony Joseph & The Spasm Band feat Joe Bowie,Trinidad & Tobago,Trinidad
Anti Pop Consortium,Etats-Unis ,New-York
Aphrodite,Royaume-Uni,Londres
Apochela,France,Rennes
Apple Mosaïc,Royaume-Uni,Bristol
April March,Etats-Unis ,New-York
Archipel,France,
Arling & Cameron,Pays-Bas,Berlin
Arno,Belgique,
Arno,Belgique,Ostende
A,Royaume-Uni,Suffolk
Ar Re Yaouank,France,
A.S. Dragon,France,Paris
Ash,Irlande,Downpatrick
Ashley Beedle,Royaume-Uni,Londres
Ashley MacIsaac,Canada,Toronto
Ashley Slater,Royaume-Uni,Brighton
Assassin,France,Paris
Astrodynamics,France,Rennes
A Subtle Plague,Etats-Unis,San Francisco
Athlete,Royaume-Uni,Depford
Atom,France,Rennes
Atomic Swing,Suède,Stockholm
Atom Rhumba,Espagne,
AtomTM,Allemagne,
A-Trak,Canada,Montréal
A Tribe Called Red,Canada,Ottawa
Attaque,Royaume-Uni,Colchester
At The Drive In,Etats-Unis ,El Paso
Attica Blues,Royaume-Uni,Londres
Attila Project,France,
Audio Active,Japon,
Audio Bullys Sound System,Royaume-Uni,Londres
Audrey Katz,France,Paris
Aufgang,Luxembourg,
Au Milieu Des Choses,France,
Au P'tit Bonheur,France,Paris
Autokratz,Royaume-Uni, 
Ava Luna,Etats-Unis,
Avondale Airforce,Etats-Unis,
Avril,France,Paris
A-Wa,Yémen,
Awesome Tapes From Africa,Etats-Unis,
Axel Krygier,Argentine,Buenos Aires
Azaxx,France ,Rennes
B3,France,Saint-Brieuc
Baaba Maal,Sénégal,Podor
Baadman,France,Caen
Babar Luck,Royaume-Uni,Londres
Baba Touré,Côte d'Ivoire,Abidjan
Babe,France,
Babylon Fighters,France,Saint-Etienne
Backpack Jax,France,Nantes
Back to The Planet,Royaume-Uni,Londres
Bad Livers,Etats-Unis,Austin
Badly Drawn Boy,Royaume-Uni,Manchester
Badume's Band,France,
Baloji,Belgique,
Bams,Cameroun,
Band Apart,France,Marseille
Bandulu,Royaume-Uni,Londres
Bangkok Paddock,France,Poitiers
Bantam Lyons,France,Nantes
Bantam Rooster,Etats-Unis,
Baris K & Mini,Turquie,
Barking Dogs,France,Paris
Barnt + Aguayo,Allemagne,Cologne
Barnt,Allemagne,Cologne
Barrence Whitfield & The Savages,Etats-Unis,Boston
Basement Jaxx ,Royaume-Uni,Londres
Bassbin Twins,Etats-Unis,San Francisco
Batida,Portugal,
Bauchklang,Autriche,
Bauchklang,Autriche,
Bauchklang,Autriche,
Beardyman,Royaume-Uni,Brighton
Beast,Canada,Montréal
Beastie Boys,Etats-Unis ,New-York
Beataucue,France,
Beats & Styles,Finlande,
Beat Torrent,France,Paris
Beck,Etats-Unis,Los Angeles
Bed,France,
Bedlam Ago Go,Royaume-Uni,Leeds
Bel Canto,Norvège,Tromsø
Belone,France,Saint-Lô
Belone Quartet,France,Nantes
Ben Harper,Etats-Unis ,
Ben Harper,Etats-Unis,Claremont
Benjamin Clementine,Royaume-Uni,
Benjamin Diamond Electro Band,France,Paris
Benjamin Zephaniah,Royaume-Uni,Londres
Ben Vaughn Combo,Etats-Unis,Philadelphie
Berlin 38,France,Avignon
Bertrand Burgalat,France,Paris
Bérurier Noir,France,Paris
Bérurier Noir,France,Paris
