Eb@Hs[XFhl,1000 Names,Bulgarie,,2006
]rNbz>f`^@,12 Rounds,Etats-Unis,Madison,
~g7tH5Rq~{,13th Hole,France,Rennes,
O8P2{cI0Em,22 Pistepirkko,Finlande,Utajärvi,1980
dePx84zTBV,24.7 Spyz,Etats-Unis,New-York,1986
cv6yQ>SI|`,2 Bal 2 Neg',France,Chelles,1989
_x^|Y0@9lG,2 Many Djs,Belgique,,
w@3mJR6g@,3 Mustaphas 3,Royaume-Uni,Londres,1985
^rRux@Ri~,4 ??????? ?????,Russie,,
[oBmFC=k@0,50 Miles From Vancouver,France,Brest,2009
Aq@6@8>UJo,64 Dollar Question,France,Caen,2005
X71Kkyhm7Y,69,France,,2007
3>gmnEn1s~,78 RPM Selector,Inde,,2008
jIjiPnT[Ia,808 State,Royaume-Uni,Manchester,
@SnQ>Sx;tZ,Abraham Inc.,Royaume-Uni,,2008
Wd0th^G_||,Abstrackt Keal Agram,France,Morlaix,
M{9_eF=Ytn,Accrorap,France,,1993
}~Y>EF<5Hc,Ace,France ,Nancy,
}75qb?6LGT,Acid Arab,France,Paris,2012
ae8oDjV[[X,Acid Brass,Royaume-Uni,,
5_2|_5gthk,AD,France,Rennes,2008
XVBNNH^;iU,A.D.O.R.,Etats-Unis,Mount Vernon,
50Mm<@azJh,Adrian Veidt,France,Rennes,2012
Yk@9FW1[tg,Aeroplane,Belgique,,
KMMNNu7>jq,Aesop Rock,Etats-Unis ,New-York,
mD@=9dyIr:,Affection Place,France,Lyon,1978
VPc4H4gX;,Africa Unite,Italie ,Turin,1981
ZO~rVh3ZK,Afro Celt Sound System,Royaume-Uni,Londres,1995
8xx0wagN|o,Afro Jazz,France,,
0E8bTqh`tj,Agent Side Grinder,Suède,,2005
s^XJ;}>HyB,Age of Chance,Royaume-Uni,Leeds,1985
?Qo:2`kcCg,Agoria,France,Lyon,1999
_lt_EoA^Bo,Aï,France,Paris,
Z0:byN}fDB,Aipa'Atout,France,Rennes,
GZBup4U9MC,Aïsha Kandisha's Jarring Effects,Maroc,,1988
S[N1M@2wCn,Aïwa,France ,Rennes,
<US~Kexwa5,Aj Croce,Etats-Unis,San Diego,
Sy<abpmN9S,Akabu,Royaume-Uni,,1988
Y1Lxk8s{X>,Aktuel Force,France,,1984
AwQgRjbs;z,Alabama 3,Royaume-Uni,Londres,1989
D|fNi_;<nF,Alan Stivell,France,,Fin 1960's
~8Xd~4z|Gl,Albert Hammond Jr,Etats-Unis ,New-York,1998
UVBgt98|Jz,Alec Metric (Live),Royaume-Uni,,2005
[PSE|ijrL^,Alee,France ,Rennes,2002
WrThNCLmsB,Alejandro Escovedo,Etats-Unis,Austin,Milieu 1970's
hhdW7J9bQc,Alexander Kowalski,Allemagne,Berlin,
?Efi3O4]:F,Alexander Tucker,Royaume-Uni,Londres,2000
Sse}Q>ZQ?H,Alex Grenier,France,,2000
M_^hXXbVaE,Ali Hassan Kuban,Egypte,Le Caire,1942
9|^|FjBk[[,Alliance Ethnik,France,Creil,1990
}SpmiWCoo?,Alphaat,France,Nantes,2010
h^YGDa`zwd,Alphabet,France,Rennes,2011
8}ZEP?h|a6,Alsarah & The Nubatones,Soudan,,2010 / Alsarah seule : première moitié des années 2000
d}bm<8D5iN,Amadou & Mariam,Mali,Bamako,1980
ggTM3j}cKP,Amon Tobin,Brésil,,
cPKjX}Cg0u,Amp Fiddler,Etats-Unis ,Detroit,
g3icgXRl@8,Anches Doo Too Cool Duo,France,Rennes,1978
jS0~RaXeQy,Andre Bratten,Norvège,Oslo,2013
]Jy=CbCyie,André Roque,France ,Rennes,
Cx~G6bg:d=,Andrew More,France,Paris,
